category,standard_brand,alias
weight loss pills,Trimtone,Trimtone
weight loss pills,Trimtone,trimtone
hair dye,L’Oréal,L Oreal
hair dye,L’Oréal,L Oréal
hair dye,L’Oréal,L'Oreal
hair dye,L’Oréal,L'Oréal
hair dye,L’Oréal,LOreal
hair dye,L’Oréal,Loreal
hair dye,L’Oréal,L’ORÉAL
hair dye,L’Oréal,L’Oréal
hair dye,L’Oréal,l oreal
hair dye,L’Oréal,l oréal
hair dye,L’Oréal,l'oreal
hair dye,L’Oréal,loreal
hair dye,L’Oréal,l’oréal
hair dye,Garnier,GARNIER
hair dye,Garnier,Garnier
hair dye,Garnier,garnier
hair dye,Clairol,CLAIROL
hair dye,Clairol,Clairol
hair dye,Clairol,clairol
hair dye,Iroiro,IROIRO
hair dye,Iroiro,Iroiro
hair dye,Iroiro,iroiro
hair dye,Arctic Fox,ARCTIC FOX
hair dye,Arctic Fox,Arctic Fox
hair dye,Arctic Fox,ArcticFox
hair dye,Arctic Fox,arctic fox
hair dye,Pulp Riot,PULP RIOT
hair dye,Pulp Riot,Pulp Riot
hair dye,Pulp Riot,PulpRiot
hair dye,Pulp Riot,pulp riot
humidifier,Honeywell,HONEYWELL
humidifier,Honeywell,Honeywell
humidifier,Honeywell,honeywell
humidifier,Vicks,VICKS
humidifier,Vicks,Vicks
humidifier,Vicks,vicks
humidifier,Levoit,LEVOIT
humidifier,Levoit,Levoit
humidifier,Levoit,levoit
humidifier,Canopy,CANOPY
humidifier,Canopy,Canopy
humidifier,Canopy,canopy
humidifier,Venta,VENTA
humidifier,Venta,Venta
humidifier,Venta,venta
humidifier,Aircare,AIRCARE
humidifier,Aircare,Aircare
humidifier,Aircare,AirCare
humidifier,Aircare,aircare
pot,All Clad,ALL CLAD
pot,All Clad,All Clad
pot,All Clad,All-Clad
pot,All Clad,AllClad
pot,All Clad,all clad
pot,All Clad,all-clad
pot,All Clad,allclad
pot,Cuisinart,CUISINART
pot,Cuisinart,Cuisinart
pot,Cuisinart,cuisinart
pot,Calphalon,CALPHALON
pot,Calphalon,Calphalon
pot,Calphalon,calphalon
pot,Vollrath,VOLLRATH
pot,Vollrath,Vollrath
pot,Vollrath,vollrath
pot,Demeyere,DEMEYERE
pot,Demeyere,Demeyere
pot,Demeyere,demeyere
pot,Revere Ware,REVERE WARE
pot,Revere Ware,Revere Ware
pot,Revere Ware,RevereWare
pot,Revere Ware,revere ware
carry-on luggage,Samsonite,SAMSONITE
carry-on luggage,Samsonite,Samsonite
carry-on luggage,Samsonite,samsonite
carry-on luggage,Away,AWAY
carry-on luggage,Away,Away
carry-on luggage,Away,away
carry-on luggage,Travelpro,TRAVELPRO
carry-on luggage,Travelpro,Travelpro
carry-on luggage,Travelpro,travelpro
carry-on luggage,Monos,MONOS
carry-on luggage,Monos,Monos
carry-on luggage,Monos,monos
carry-on luggage,LEVEL8,LEVEL8
carry-on luggage,LEVEL8,level8
carry-on luggage,DELSEY PARIS,DELSEY PARIS
carry-on luggage,DELSEY PARIS,DELSEYPARIS
carry-on luggage,DELSEY PARIS,Delsey
carry-on luggage,DELSEY PARIS,Delsey Paris
carry-on luggage,DELSEY PARIS,delsey
carry-on luggage,DELSEY PARIS,delsey paris
weight loss pills,Wegovy,WEGOVY
weight loss pills,Wegovy,Wegovy
weight loss pills,Wegovy,wegovy
weight loss pills,Zepbound,ZEPBOUND
weight loss pills,Zepbound,Zepbound
weight loss pills,Zepbound,zepbound
weight loss pills,Saxenda,SAXENDA
weight loss pills,Saxenda,Saxenda
weight loss pills,Saxenda,saxenda
weight loss pills,Qsymia,QSYMIA
weight loss pills,Qsymia,Qsymia
weight loss pills,Qsymia,qsymia
weight loss pills,Contrave,CONTRAVE
weight loss pills,Contrave,Contrave
weight loss pills,Contrave,contrave
weight loss pills,Xenical,XENICAL
weight loss pills,Xenical,Xenical
weight loss pills,Xenical,xenical
weight loss pills,Xenical,Orlistat
weight loss pills,Xenical,orlistat
weight loss pills,Lomaira,LOMAIRA
weight loss pills,Lomaira,Lomaira
weight loss pills,Lomaira,lomaira
weight loss pills,Adipex-P,ADIPEX-P
weight loss pills,Adipex-P,Adipex-P
weight loss pills,Adipex-P,Adipex
weight loss pills,Adipex-P,adipex-p
weight loss pills,Adipex-P,adipex
weight loss pills,Adipex-P,Phentermine
weight loss pills,Qsymia,Phentermine/topiramate
weight loss pills,Qsymia,Phentermine/topiramate ER
carry-on luggage,Tumi,TUMI
carry-on luggage,Tumi,Tumi
carry-on luggage,Tumi,tumi
digital camera,Panasonic,PANASONIC
digital camera,Panasonic,Panasonic
digital camera,Panasonic,Panasonic Lumix
digital camera,Panasonic,Lumix
laptop,ASUS,ASUS
laptop,ASUS,Asus
laptop,ASUS,asus
car battery,Interstate Batteries,Interstate
car battery,Interstate Batteries,Interstate Batteries
car battery,Interstate Batteries,interstate
car battery,Interstate Batteries,interstate batteries
weight loss pills,Alli,All
weight loss pills,Alli,all
weight loss pills,Xenical,Xanical
weight loss pills,Xenical,Xanical/Alli
weight loss pills,Xenical,Xenical/Alli
hair dye,Wella,Wella
hair dye,Wella,Wella Color Charm
hair dye,L’Oréal,L’Oréal Paris
hair dye,L’Oréal,L Oreal Paris
hair dye,L’Oréal,Loreal Paris
hair dye,Clairol,Clairol Nice n Easy
hair dye,Clairol,Clairol Nice'n Easy
hair dye,Clairol,Clairol Nice and Easy
hair dye,Garnier,Garnier Nutrisse
hair dye,Revlon,Revlon
hair dye,Revlon,Revlon Colorsilk
hair dye,Revlon,Revlon ColorSilk
hiking jacket,Arc'teryx,Arc'teryx
hiking jacket,Arc'teryx,Arcteryx
hiking jacket,Arc'teryx,Arc‚Äôteryx
car battery,Optima Batteries,Optima
car battery,Optima Batteries,Optima Batteries
humidifier,Crane,Crane
humidifier,Dyson,Dyson
weight loss pills,Garcinia Cambogia,Garcinia Cambogia
weight loss pills,Garcinia Cambogia,Garcinia Cambogia Plus
weight loss pills,Hydroxycut,Hydroxicut
weight loss pills,OxyShred,OxyShred
weight loss pills,OxyShred,Oxyshred
weight loss pills,Zantrex,Zantrex
weight loss pills,Zantrex,Zantrex-3
car tires,Michelin,MICHELIN
car tires,Michelin,Michelin
car tires,Michelin,michelin
car tires,Goodyear,GOODYEAR
car tires,Goodyear,Goodyear
car tires,Goodyear,goodyear
car tires,Bridgestone,BRIDGESTONE
car tires,Bridgestone,Bridgestone
car tires,Bridgestone,bridgestone
car tires,Nokian,NOKIAN
car tires,Nokian,Nokian
car tires,Nokian,Nokian Tyres
car tires,Falken,FALKEN
car tires,Falken,Falken
car tires,Cooper,COOPER
car tires,Cooper,Cooper
car tires,Cooper,Cooper Tires
car tires,Continental,CONTINENTAL
car tires,Continental,Continental
car tires,Continental,Continental Tire
car tires,Pirelli,PIRELLI
car tires,Pirelli,Pirelli
motor oil,Mobil 1,MOBIL 1
motor oil,Mobil 1,Mobil 1
motor oil,Mobil 1,Mobil One
motor oil,Mobil 1,mobil 1
motor oil,Castrol,CASTROL
motor oil,Castrol,Castrol
motor oil,Pennzoil,PENNZOIL
motor oil,Pennzoil,Pennzoil
motor oil,Royal Purple,ROYAL PURPLE
motor oil,Royal Purple,Royal Purple
motor oil,AMSOIL,AMSOIL
motor oil,AMSOIL,Amsoil
motor oil,Red Line,RED LINE
motor oil,Red Line,Red Line
motor oil,Red Line,Red Line Oil
motor oil,Valvoline,VALVOLINE
motor oil,Valvoline,Valvoline
motor oil,Shell,SHELL
motor oil,Shell,Shell
motor oil,Shell,Shell Rotella
allergy remedies,Claritin,CLARITIN
allergy remedies,Claritin,Claritin
allergy remedies,Claritin,loratadine
allergy remedies,Zyrtec,ZYRTEC
allergy remedies,Zyrtec,Zyrtec
allergy remedies,Zyrtec,cetirizine
allergy remedies,Allegra,ALLEGRA
allergy remedies,Allegra,Allegra
allergy remedies,Allegra,fexofenadine
allergy remedies,Xyzal,XYZAL
allergy remedies,Xyzal,Xyzal
allergy remedies,Xyzal,levocetirizine
allergy remedies,Astepro,ASTEPRO
allergy remedies,Astepro,Astepro
allergy remedies,Nasacort,NASACORT
allergy remedies,Nasacort,Nasacort
allergy remedies,Benadryl,BENADRYL
allergy remedies,Benadryl,Benadryl
allergy remedies,Benadryl,diphenhydramine
allergy remedies,Flonase,FLONASE
allergy remedies,Flonase,Flonase
allergy remedies,Flonase,fluticasone
coffee maker,Keurig,KEURIG
coffee maker,Keurig,Keurig
coffee maker,Cuisinart,CUISINART
coffee maker,Cuisinart,Cuisinart
coffee maker,Ninja,NINJA
coffee maker,Ninja,Ninja
coffee maker,Technivorm,TECHNIVORM
coffee maker,Technivorm,Technivorm
coffee maker,Technivorm,Moccamaster
coffee maker,Technivorm,Technivorm Moccamaster
coffee maker,Bonavita,BONAVITA
coffee maker,Bonavita,Bonavita
coffee maker,OXO,OXO
coffee maker,OXO,Oxo
coffee maker,Nespresso,NESPRESSO
coffee maker,Nespresso,Nespresso
coffee maker,Breville,BREVILLE
coffee maker,Breville,Breville
coffee maker,Hamilton Beach,HAMILTON BEACH
coffee maker,Hamilton Beach,Hamilton Beach
coffee maker,De'Longhi,DE'LONGHI
coffee maker,De'Longhi,De'Longhi
coffee maker,De'Longhi,DeLonghi
coffee maker,De'Longhi,De Longhi
coffee maker,De'Longhi,Delonghi
cat food,Purina,PURINA
cat food,Purina,Purina
cat food,Purina,Purina Pro Plan
cat food,Purina,Pro Plan
cat food,Purina,Purina One
cat food,Purina,Purina ONE
cat food,Friskies,FRISKIES
cat food,Friskies,Friskies
cat food,Fancy Feast,FANCY FEAST
cat food,Fancy Feast,Fancy Feast
cat food,Fancy Feast,Purina Fancy Feast
cat food,Tiki Cat,TIKI CAT
cat food,Tiki Cat,Tiki Cat
cat food,Weruva,WERUVA
cat food,Weruva,Weruva
cat food,Instinct,INSTINCT
cat food,Instinct,Instinct
cat food,Instinct,Nature's Variety Instinct
cat food,Royal Canin,ROYAL CANIN
cat food,Royal Canin,Royal Canin
cat food,Hill's Science Diet,HILL'S SCIENCE DIET
cat food,Hill's Science Diet,Hill's
cat food,Hill's Science Diet,Hill's Science Diet
cat food,Hill's Science Diet,Hills Science Diet
cat food,Blue Buffalo,BLUE BUFFALO
cat food,Blue Buffalo,Blue Buffalo
cat food,Wellness,WELLNESS
cat food,Wellness,Wellness
cat food,Wellness,Wellness Core
cat food,Iams,IAMS
cat food,Iams,Iams
cat food,Smallbatch,SmallBatch
cat food,Smallbatch,Smallbatch
cat food,Smallbatch,SmallBatch Pets
boat cruises,Carnival,CARNIVAL
boat cruises,Carnival,Carnival
boat cruises,Carnival,Carnival Cruise Line
boat cruises,Royal Caribbean,ROYAL CARIBBEAN
boat cruises,Royal Caribbean,Royal Caribbean
boat cruises,Royal Caribbean,Royal Caribbean International
boat cruises,Norwegian Cruise Line,NORWEGIAN CRUISE LINE
boat cruises,Norwegian Cruise Line,Norwegian Cruise Line
boat cruises,Norwegian Cruise Line,NCL
boat cruises,Viking,VIKING
boat cruises,Viking,Viking
boat cruises,Viking,Viking Cruises
boat cruises,Oceania Cruises,OCEANIA CRUISES
boat cruises,Oceania Cruises,Oceania
boat cruises,Oceania Cruises,Oceania Cruises
boat cruises,Windstar Cruises,WINDSTAR CRUISES
boat cruises,Windstar Cruises,Windstar
boat cruises,Windstar Cruises,Windstar Cruises
boat cruises,Princess Cruises,PRINCESS CRUISES
boat cruises,Princess Cruises,Princess
boat cruises,Princess Cruises,Princess Cruises
boat cruises,Celebrity Cruises,CELEBRITY CRUISES
boat cruises,Celebrity Cruises,Celebrity
boat cruises,Celebrity Cruises,Celebrity Cruises
hiking jacket,REI Co-op,REI
hiking jacket,REI Co-op,REI Co-op
hiking jacket,REI Co-op,REI Coop
hiking jacket,REI Co-op,Rei Co-op
hiking jacket,Lululemon,lululemon
hiking jacket,Lululemon,Lululemon
